year	age	n
1991	33	50
1992	33	29
1993	33	37
1994	33	78.5
1995	33	48
1996	33	61
1997	33	40
1998	33	76
1999	33	54
2000	33	70
2002	33	61
2003	33	46
2004	33	32
2005	33	0
2006	33	66
2008	33	29
2009	33	61
2012	33	0
2013	33	11
2014	33	0
2016	33	54
2018	33	27
2019	33	40
2020	33	120.5
2021	33	88.5
2022	33	145
2001	33	35
2007	33	14
2010	33	14
2011	33	14
2015	33	29
2017	33	57
1989	32	67
1990	32	67
1991	32	47
1992	32	17
1993	32	116
1994	32	29
1995	32	29
1996	32	30
1998	32	64
1999	32	56
2000	32	68.5
2002	32	42
2005	32	77
2006	32	28
2009	32	13
2016	32	28
2017	32	24
2018	32	66
2019	32	90
2020	32	37
2021	32	57
2022	32	98
1997	32	0
2001	32	23
2003	32	11
2004	32	23
2007	32	14
2008	32	14
2010	32	14
2011	32	13
2012	32	24
2013	32	27
2014	32	13
2015	32	0
1989	31	37
1990	31	37
1991	31	37
1992	31	17
1993	31	76
1994	31	78.5
1995	31	19
1996	31	10
1997	31	21
1998	31	42
1999	31	67
2000	31	32
2001	31	42
2002	31	10
2003	31	23
2004	31	76
2006	31	12
2007	31	3
2009	31	8
2010	31	0
2011	31	0
2012	31	27
2013	31	0
2014	31	39
2015	31	0
2016	31	24
2017	31	3
2018	31	64
2019	31	24
2020	31	54
2021	31	76
2022	31	120.5
2005	31	0
2008	31	0
1989	30	27
1990	30	27
1991	30	28
1992	30	54
1993	30	17
1994	30	9
1995	30	19
1996	30	29
1997	30	10
1998	30	53
1999	30	22
2000	30	21
2001	30	21
2003	30	36
2004	30	27
2006	30	0
2007	30	0
2009	30	13
2011	30	27
2012	30	0
2014	30	0
2016	30	24
2017	30	11
2018	30	61
2019	30	0
2020	30	81
2021	30	54
2022	30	96
2002	30	22
2005	30	13
2008	30	27
2010	30	0
2013	30	27
2015	30	11
1989	29	68.5
1990	29	68.5
1992	29	27
1998	29	66
2018	29	76
2020	29	39
2021	29	53
2022	29	120.5
1991	29	8
1993	29	27
1994	29	29
1995	29	9
1996	29	32
1997	29	32
1999	29	42
2000	29	32
2001	29	32
2002	29	36
2003	29	0
2004	29	0
2005	29	0
2006	29	13
2007	29	14
2008	29	0
2009	29	0
2010	29	0
2011	29	24
2012	29	27
2013	29	13
2014	29	0
2015	29	0
2016	29	11
2017	29	23
2019	29	19
1989	28	29
1990	28	29
1991	28	30
1992	28	19
1993	28	32
1994	28	32
1995	28	32
1996	28	0
1997	28	35
1998	28	54
1999	28	21
2000	28	64
2001	28	32
2003	28	24
2008	28	22
2010	28	24
2014	28	24
2016	28	70
2017	28	64
2018	28	29
2019	28	19
2020	28	50
2021	28	51
2022	28	87
2002	28	0
2004	28	13
2005	28	13
2006	28	13
2007	28	13
2009	28	11
2011	28	0
2012	28	0
2013	28	11
2015	28	11
1989	27	9
1990	27	9
1991	27	48
1992	27	50
1993	27	70
1994	27	22
1995	27	0
1996	27	22
1997	27	42
1998	27	30
1999	27	40
2000	27	22
2001	27	11
2003	27	0
2004	27	11
2008	27	36
2010	27	0
2014	27	11
2016	27	0
2017	27	19
2018	27	29
2019	27	0
2020	27	87
2021	27	96
2022	27	116
2002	27	24
2005	27	11
2006	27	11
2007	27	11
